cell_id,centroid_mean,lon,lat
399,30.147949461751313,-105.25,31.25
400,30.13610919018482,-105.0,31.25
401,30.136951143206367,-104.75,31.25
402,30.198912065950797,-104.5,31.25
403,30.11681874745409,-104.25,31.25
404,30.199210823612074,-104.0,31.25
405,30.102052794117927,-103.75,31.25
406,30.184210053195084,-103.5,31.25
407,30.404830375375102,-103.25,31.25
408,30.492959868120334,-103.0,31.25
409,30.41992910845259,-102.75,31.25
410,30.26711973472713,-102.5,31.25
411,30.21567199931059,-102.25,31.25
412,30.1913291585963,-102.0,31.25
413,30.197648553844864,-101.75,31.25
414,30.220192406478766,-101.5,31.25
415,30.211919284152547,-101.25,31.25
416,30.085436908152097,-101.0,31.25
417,30.152671024986866,-100.75,31.25
418,30.32051735710299,-100.5,31.25
419,30.35085856189835,-100.25,31.25
420,30.346733339166697,-100.0,31.25
421,30.159205068905766,-99.75,31.25
422,30.155315729686453,-99.5,31.25
423,30.15160718480967,-99.25,31.25
424,30.080753052786278,-99.0,31.25
425,30.206393114734404,-98.75,31.25
426,30.235731641065705,-98.5,31.25
427,30.007424636419344,-98.25,31.25
428,29.947403950527168,-98.0,31.25
429,29.964605404538677,-97.75,31.25
430,30.20664973883406,-97.5,31.25
431,30.397319312449188,-97.25,31.25
432,30.498203046754217,-97.0,31.25
433,30.638881480292184,-96.75,31.25
434,30.544654682775636,-96.5,31.25
435,30.695510685558055,-96.25,31.25
436,30.864666453726105,-96.0,31.25
437,30.992344848701926,-95.5,31.25
438,31.04248302816324,-95.25,31.25
439,31.044815152516374,-95.0,31.25
440,31.106753738185105,-94.75,31.25
441,30.873185268856243,-94.5,31.25
442,30.4990708815413,-94.25,31.25
443,30.722718148944505,-94.0,31.25
444,30.24721051481006,-111.5,31.5
445,30.24238501896616,-111.25,31.5
446,30.23957926064255,-111.0,31.5
447,30.08242576419322,-110.75,31.5
448,30.084035757299997,-110.5,31.5
449,30.273569536240895,-110.25,31.5
450,30.135654010803243,-110.0,31.5
451,30.041882007729818,-109.75,31.5
452,29.921402498269273,-109.5,31.5
453,30.044737995866363,-109.25,31.5
454,30.069081378926057,-109.0,31.5
455,30.119971845251992,-108.75,31.5
456,30.102704312108333,-108.5,31.5
457,30.16444451186824,-108.25,31.5
458,30.02982270922019,-106.0,31.5
459,30.198987828963883,-105.75,31.5
460,30.048913283602676,-105.5,31.5
461,30.05114257510062,-105.25,31.5
462,30.12823738798929,-105.0,31.5
463,29.985571308112974,-104.75,31.5
464,30.07340494629954,-104.5,31.5
465,30.138065954412852,-104.25,31.5
466,30.15201660461921,-104.0,31.5
467,30.019119654079148,-103.75,31.5
468,30.12710467987703,-103.5,31.5
469,30.30389825797801,-103.25,31.5
470,30.331519830302568,-103.0,31.5
471,30.242321050058727,-102.75,31.5
472,30.2366770288701,-102.5,31.5
473,30.167260907225472,-102.25,31.5
474,30.12712381770745,-102.0,31.5
475,30.13928230394511,-101.75,31.5
476,30.109999244159553,-101.5,31.5
477,30.256867037132345,-101.25,31.5
478,30.28466609761549,-101.0,31.5
479,30.226595899867018,-100.75,31.5
480,30.288182703334876,-100.5,31.5
481,30.239055290419717,-99.75,31.5
482,30.163772605068516,-99.5,31.5
483,30.227985226849203,-99.25,31.5
484,30.136865194013808,-99.0,31.5
485,30.194489141142604,-98.75,31.5
486,30.177074632882768,-98.5,31.5
487,30.039213838879594,-98.25,31.5
488,29.93899160136397,-98.0,31.5
489,29.986679929686943,-97.75,31.5
490,30.32927151309559,-97.25,31.5
491,30.462943614800817,-97.0,31.5
492,30.627301438615316,-96.75,31.5
493,30.596058897474833,-96.5,31.5
494,30.606888603183997,-96.25,31.5
495,30.75889581753514,-96.0,31.5
496,30.911271412066597,-95.5,31.5
497,30.883176098351562,-95.25,31.5
498,31.05634697988101,-95.0,31.5
499,31.067905783827882,-94.75,31.5
500,30.739589454498716,-94.5,31.5
501,30.870716246033016,-94.25,31.5
502,28.661949929935734,-94.0,31.5
503,30.195257276858545,-112.25,31.75
504,30.165062003925694,-112.0,31.75
505,30.091611888105174,-111.75,31.75
506,30.398240353177805,-111.5,31.75
507,30.241625633699677,-111.25,31.75
508,30.092301986912318,-111.0,31.75
509,30.270651433643742,-110.75,31.75
510,30.167592606393065,-110.5,31.75
